S_1_1	aB	4_1
S_3_1	abacbHCBDCED	12n0355
S_3_1	abacbHCBdCED	12n0356
S_3_1	abacbhCBDCeD	12n0357
S_3_1	abAcbdcegHCDE	12n0362
S_3_1	abAcBdceHCDeG	12n0363
S_3_1	abcdhCde	12n0366
S_3_1	abAbcBDCEh	12n0367
S_3_1	abbcbdccEGh	12n0370
S_3_1	aabAcBdCBhcbDE	12n0371
S_3_1	aabacEHCBDcEdG	12n0372
S_3_1	abCCDCeGhcBdce	12n0373
S_3_1	abAcbdcbGHCDe	12n0375
S_3_1	abAcBdCegHcdE	12n0377
S_3_1	abacbDCBegHCD	12n0385
S_3_1	abcDCBeDCgH	12n0388
S_3_1	abCBdehCDEG	12n0389
S_3_1	abccDCegH	12n0390
S_3_1	abCBdcEh	12n0392
S_3_1	abAbcbDCeh	12n0395
S_3_1	abCBdcEdgeH	12n0396
S_3_1	abcBEgHCD	12n0397
S_3_1	aabAcbdCeH	12n0398
S_3_1	abAcBdCdEGh	12n0399
S_3_1	abAcBDCeGHcde	12n0400
S_3_1	abcDegHCD	12n0401
S_3_1	abAbcdef	12n0402
S_3_1	abAcbdCeDgh	12n0403
S_3_1	abcbdceDCGH	12n0407
S_3_1	abcBdcEDcGH	12n0408
S_3_1	abcBDGhcDE	12n0409
S_3_1	aabAcBeGHCD	12n0420
S_3_1	abAbcdCegHC	12n0423
S_3_1	abAccbDCEgH	12n0431
S_3_1	abcBdcEh	12n0433
S_3_1	abAcBdEDCGhcd	12n0434
S_3_1	abaceHCBDCEdG	12n0435
S_3_1	abacbHCBdceD	12n0436
S_3_1	abcBcEGhcd	12n0437
S_3_1	abcbdceDCgH	12n0438
S_3_1	abcBDEGhcd	12n0439
S_3_1	abAcdeGHCbCh	12n0441
S_3_1	abAcbdcehCDeG	12n0446
S_3_1	abAcBeghCCd	12n0449
S_3_1	abacbGHCBDCed	12n0450
S_3_1	abacbbbeGhcd	12n0451
S_3_1	abcBEGhcDD	12n0454
S_3_1	abcBEGhcdd	12n0456
S_3_1	abAcbdcbgHCDE	12n0460
S_3_1	abcBDehCDEg	12n0461
S_3_1	abcDCBedCGH	12n0463
S_3_1	abcddEGh	12n0475
S_3_1	abCDCEGhcBdcE	12n0480
S_3_1	abAcBdCeDCCGh	12n0481
S_3_1	abacDCBeDcgHC	12n0482
S_3_1	abbcHCBDCEdH	12n0484
S_3_1	abcBBdceGh	12n0487
S_3_1	abcdcEGh	12n0488
S_3_1	aBcBdCeDCgh	12n0491
S_3_1	abAbcdcegHCDE	12n0495
S_3_1	abAbcdcEDgeHC	12n0496
S_3_1	abAbCdEF	12n0497
S_3_1	aBCBBBEgHCBD	12n0499
S_3_1	aBcdCCeGh	12n0505
S_3_1	abcdCCEgh	12n0506
S_3_1	abcbdCEDCgH	12n0507
#S_3_1	---	12n0510
S_3_1	abcBDEGhcD	12n0514
S_3_1	abcDDEGh	12n0522
S_3_1	abCBeHcD	12n0525
S_3_1	abAbcbdCeh	12n0528
S_3_1	abcBeHcD	12n0529
S_3_1	abAcBcDCegH	12n0536
S_3_1	abAccbDCeH	12n0542
S_3_1	abAcDGhCbCdE	12n0543
S_3_1	abAcBGhCDDCed	12n0548
S_3_1	abAcbdcbGGHCDE	12n0549
S_3_1	abCBegHCD	12n0552
S_3_1	abAbccDCEf	12n0555
S_3_1	abcBcDEh	12n0558
S_3_1	abcBdCeDCCgH	12n0577
S_3_1	abAcbdcBGhCdE	12n0579
S_3_1	abcdHCdE	12n0584
S_3_1	abcDeHCD	12n0586
S_3_1	abcDEHCd	12n0587
S_3_1	aabAcBeHCd	12n0598
S_3_1	abccEhCD	12n0601
S_3_1	abceHCCd	12n0602
S_3_1	aBcdGhCDE	12n0612
S_3_1	abAcbdCBGhCdE	12n0614
S_3_1	aBBCBDCCDEgH	12n0616
S_3_1	abacbhCBdCeD	12n0617
S_3_1	abCBegHcD	12n0621
S_3_1	abCdCEDGhcBcH	12n0628
S_3_1	aabAcbDCEh	12n0629
S_3_1	abacGHCBDCEdC	12n0630
S_3_1	abAcbgHCBDCeD	12n0631
S_3_1	abAcbdceDCCGh	12n0634
S_3_1	abCBdcEGh	12n0636
S_3_1	abacbdCehCdE	12n0660
S_3_1	abAbcDEhCh	12n0672
S_3_1	abcBGhcdEd	12n0690
S_3_1	abcBdcEDCGh	12n0705
S_3_1	abacDcBEDCGHcd	12n0717
S_3_1	abaccBDCEGHcdE	12n0719
S_3_1	abbcbdccdeGh	12n0730
S_3_1	abcBDeHCdEg	12n0732
S_3_1	abCdCBhcDE	12n0745
S_3_1	abcbdccceGh	12n0749
S_3_1	abAcbdcBGHCDe	12n0755
S_3_1	abacBDeDCHcd	12n0757
S_3_1	abaCBAdCBehC	12n0763
S_3_1	abbcbDCEGh	12n0768
S_3_1	abacbGhCBDCEd	12n0780
S_3_1	abAcbdEDCHCD	12n0798
S_3_1	abAcbdCCeH	12n0818
S_3_1	abcBdeHCdEG	12n0826
S_3_1	aabCBADCBeDCgH	12n0835
S_3_1	abAcBdEDChcd	12n0847
S_3_1	abAbCBDCegH	12n0870
S_3_1	abaCBAdcBEGhC	12n0871
S_3_1	abacBdcBHCDe	12n0878
S_4_1	abcdefgH	10_2
S_4_1	abcdefGH	10_5
S_4_1	abcdeFGH	10_9
S_4_1	abcdEFGH	10_17
S_4_1	abcdefgJ	10_46
S_4_1	abcdeFGj	10_47
S_4_1	abcdEFGJ	10_48
S_4_1	abcdCedfEGHj	10_62
S_4_1	abcdCeDFEGHJ	10_64
S_4_1	abcdedFEGJ	10_82
S_4_1	abcdeDfEgJ	10_85
S_4_1	abcbdCeDFEGJ	10_91
S_4_1	abcBdCeDfEgJ	10_94
S_4_1	abcBdceDfGjeFG	10_100
S_4_1	abcdCeDfGFEJef	10_112
S_4_1	abcdCedfEghj	10_139
S_4_1	abcdEFgJ	11a7
S_4_1	abcdefGJ	11a9
S_4_1	abcBdCeDfEGJ	11a28
S_4_1	aBCDEfgJ	11a33
S_4_1	abcDEfgJ	11a34
S_4_1	abCDEfgJ	11a35
S_4_1	abcdEfgJ	11a40
S_4_1	abcdedFEgJ	11a53
S_4_1	abcdeFGJ	11a55
S_4_1	abcdeFgj	11a62
S_4_1	abcbdCeDFEgJ	11a66
S_4_1	abcdeDfEGJ	11a68
S_4_1	abCdEDfegJ	11a71
S_4_1	abCdEDGjeF	11a72
S_4_1	aBcdEDCfEdgFeJ	11a73
S_4_1	aBCDEFGj	11a74
S_4_1	abCBdcEDGjeF	11a76
S_4_1	abCBdcEDfegJ	11a79
S_4_1	aBCdEDfegJ	11a80
S_4_1	aBCdEDGjeF	11a81
S_4_1	abCDEFGj	11a82
S_4_1	abCDefgj	11a83
S_4_1	abcdCeDfEgHJ	11a86
S_4_1	abcdCedFEGHJ	11a88
S_4_1	aBCDefgj	11a92
S_4_1	abCBdCeFEDgfEJ	11a99
S_4_1	abcdCeDfEGHJ	11a106
S_4_1	aBcDCedFEGHj	11a108
S_4_1	abcDCedFEGHj	11a109
S_4_1	abAcbdCdedFEGJ	11a125
S_4_1	abAcbdCdEFGJ	11a126
S_4_1	abcBdcEDfegJ	11a127
S_4_1	abcBdceDfEgJ	11a129
S_4_1	abcdCedFEGHj	11a139
