manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
12n0454,S_3_1,abcBEGhcDD,3.4877918164,"[1, -2, -6, 2, 5, -4, -11, -4, 5, 2, -6, -2, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3]",[2],True,False
12n0456,S_3_1,abcBEGhcdd,2.95822669787,"[1, -3, 0, -1, 4, 0, 3, -9, 3, 0, 4, -1, 0, -3, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
12n0460,S_3_1,abAcbdcbgHCDE,3.78588592173,"[1, -4, 2, -3, -7, 7, -7, -3, 2, -4, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
12n0461,S_3_1,abcBDehCDEg,3.80332946224,"[1, -6, 10, -7, 1, 7, 1, -7, 10, -6, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
12n0463,S_3_1,abcDCBedCGH,3.89149929135,"[1, -6, 10, -7, -3, 13, -3, -7, 10, -6, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0475,S_3_1,abcddEGh,1.68648159025,"[1, -2, 1, 0, -2, 2, -2, 2, -2, 0, 1, -2, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
12n0480,S_3_1,abCDCEGhcBdcE,4.22272241416,"[1, -4, -2, 5, 3, -23, 3, 5, -2, -4, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],False,False
12n0481,S_3_1,abAcBdCeDCCGh,3.721802336,"[1, -4, -1, 9, -4, -9, 18, -9, -4, 9, -1, -4, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0482,S_3_1,abacDCBeDcgHC,3.40249040781,"[1, -2, -3, -5, -3, -2, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
12n0484,S_3_1,abbcHCBDCEdH,3.65750123985,"[1, -4, 1, 1, -1, 4, -6, 4, -1, 1, 1, -4, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0487,S_3_1,abcBBdceGh,2.34414223374,"[1, -2, -2, 1, 3, 4, -3, 1, -3, 4, 3, 1, -2, -2, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
12n0488,S_3_1,abcdcEGh,1.84280687038,"[1, -1, -2, -1, 2, 1, 2, 1, 2, -1, -2, -1, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
12n0491,S_3_1,aBcBdCeDCgh,4.9064793661,"[1, -6, 5, 2, -1, 0, -1, 2, 5, -6, 1]","[3, 3, 3, 3, 3, 5]",[5],True,False
12n0495,S_3_1,abAbcdcegHCDE,3.28477346076,"[1, -4, 3, -3, 3, 0, -2, 0, 3, -3, 3, -4, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0496,S_3_1,abAbcdcEDgeHC,8.03786653747,"[1, -10, 17, -10, 1]","[4, 4, 6]",[6],True,True
12n0497,S_3_1,abAbCdEF,5.47597075234,"[1, -7, 9, -5, 9, -7, 1]","[3, 3, 8]",[8],True,False
12n0499,S_3_1,aBCBBBEgHCBD,3.07143289079,"[1, -3, -1, 2, -1, 7, -1, 2, -1, -3, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
12n0505,S_3_1,aBcdCCeGh,4.18484713291,"[1, -6, 7, 5, -12, 5, 7, -6, 1]","[3, 3, 3, 3, 6]",[6],True,False
12n0506,S_3_1,abcdCCEgh,4.23575613312,"[1, -6, 6, 9, -12, 0, 6, 0, -12, 9, 6, -6, 1]","[3, 3, 3, 3, 3, 3, 3, 3]",[3],True,False
12n0507,S_3_1,abcbdCEDCgH,3.60265055431,"[1, -6, 10, -5, -3, 13, -3, -5, 10, -6, 1]","[3, 3, 3, 3, 3, 3, 4]",[4],True,False
12n0514,S_3_1,abcBDEGhcD,2.68637442468,"[1, -1, -5, 1, 4, -5, -9, -5, 4, 1, -5, -1, 1]","[2, 3, 3, 3, 3, 3, 3, 3, 3]",[2],True,False
12n0522,S_3_1,abcDDEGh,2.00668204841,"[1, -1, -3, 3, -1, -2, -1, 3, -3, -1, 1]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",[1],True,False
