manifold,surface,monodromy,dilatation,polynomial coefficients,singularity orders,puncture orders,primitive,abelian
s479,S_2_1,aaaabcd,2.89005363826,"[1, -2, -2, -2, 1]",[6],[6],True,True
s519,S_2_1,aabcD,2.29663026289,"[1, -2, 0, -2, 1]","[2, 6]",[2],True,True
s521,S_2_1,aabCDf,1.9748187083,"[1, -2, 1, -2, 1, -2, 1]","[1, 3, 3, 5]",[1],True,False
s580,S_2_1,aabAcf,2.36920540709,"[1, -1, -3, -1, 1]",[6],[6],True,True
s581,S_2_1,aaabcdeF,2.36920540709,"[1, -1, -3, -1, 1]",[6],[6],True,True
s676,S_2_1,aaaBAAcdeF,2.36920540709,"[1, -1, -3, -1, 1]","[3, 3, 4]",[4],True,False
s677,S_2_1,abbbCDEf,2.36920540709,"[1, -1, -3, -1, 1]","[3, 3, 4]",[4],True,False
s703,S_2_1,abCDCf,1.96355303899,"[1, -2, -1, 3, -1, -2, 1]","[1, 3, 3, 3, 4]",[1],True,False
s719,S_2_1,aaBCD,3.09065785085,"[1, -4, 4, -4, 1]","[2, 4, 4]",[2],True,True
s745,S_2_1,aBCDCE,2.45317002238,"[1, -3, 2, -2, 2, -3, 1]","[2, 3, 3, 3, 3]",[2],True,False
s860,S_2_1,aabACDf,2.08101899662,"[1, -1, -2, -1, 1]","[1, 3, 3, 5]",[1],True,False
s861,S_2_1,abCDCEf,2.08101899662,"[1, -1, -2, -1, 1]","[3, 3, 3, 3]",[3],True,False
s869,S_2_1,aBBCDCEf,2.08101899662,"[1, -1, -2, -1, 1]","[2, 3, 3, 3, 3]",[2],True,False
s911,S_2_1,aaabaacdef,2.01535718128,"[1, -1, 0, -4, 0, -1, 1]","[2, 3, 3, 3, 3]",[2],True,False
s912,S_2_1,abCD,2.01535718128,"[1, -1, 0, -4, 0, -1, 1]","[2, 3, 3, 3, 3]",[2],True,False
s923,S_2_1,aaBCBDf,2.08101899662,"[1, -1, -2, -1, 1]","[1, 3, 4, 4]",[1],True,False
s924,S_2_1,aabcdF,2.36920540709,"[1, -1, -3, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
s942,S_2_1,aaBCDf,2.08101899662,"[1, -1, -2, -1, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
s943,S_2_1,aabcbdF,2.29663026289,"[1, -2, 0, -2, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
v0953,S_2_1,abcdeFF,2.89005363826,"[1, -2, -2, -2, 1]",[6],[6],True,True
v1045,S_2_1,aaabcde,2.29663026289,"[1, -2, 0, -2, 1]","[2, 6]",[2],True,True
v1055,S_2_1,aabaabcdf,2.08101899662,"[1, -1, -2, -1, 1]","[3, 3, 4]",[3],True,False
v1076,S_2_1,aaabacdf,2.96557263399,"[1, -3, 1, -3, 1]","[4, 4]",[4],True,True
v1191,S_2_1,abcdFF,2.98306748589,"[1, -2, -3, 0, 1, 0, -3, -2, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
v1249,S_2_1,abaCDCf,1.9748187083,"[1, -2, 1, -2, 1, -2, 1]","[1, 3, 3, 3, 4]",[1],True,False
v1373,S_2_1,aaabacdef,3.09065785085,"[1, -4, 4, -4, 1]","[2, 4, 4]",[2],True,True
v1408,S_2_1,aabcdf,2.29663026289,"[1, -2, 0, -2, 1]","[4, 4]",[4],True,True
v1517,S_2_1,abacdFF,2.94699466978,"[1, -2, -2, -2, 0, -2, -2, -2, 1]","[1, 3, 3, 3, 3, 3]",[1],True,False
v1540,S_2_1,aaaabcdeF,2.61803398875,"[1, -3, 1]",[6],[6],True,True
v1614,S_2_1,abacdcef,2.15372137554,"[1, -3, 3, -3, 1]","[2, 4, 4]",[2],True,True
v1663,S_2_1,aaabacdcf,3.09065785085,"[1, -4, 4, -4, 1]","[4, 4]",[4],True,True
v1669,S_2_1,aaaaBAAcdeF,2.61803398875,"[1, -3, 1]","[3, 3, 4]",[4],True,False
v1670,S_2_1,abbbbCDEf,2.61803398875,"[1, -3, 1]","[3, 3, 4]",[4],True,False
v1682,S_2_1,aaaaabcd,3.93869094198,"[1, -3, -3, -3, 1]",[6],[6],True,True
v1882,S_2_1,aabcdce,2.29663026289,"[1, -2, 0, -2, 1]","[2, 6]",[2],True,True
v2054,S_2_1,aaaBCD,4.05624202514,"[1, -5, 5, -5, 1]","[2, 4, 4]",[2],True,True
v2099,S_2_1,abCDE,2.29663026289,"[1, -2, 0, -2, 1]","[3, 3, 4]",[4],True,False
v2101,S_2_1,aaabaaccf,2.29663026289,"[1, -2, 0, -2, 1]","[3, 3, 4]",[4],True,False
